EVD Index,Event ID,Run,Subrun,Track Start z- coordinate,1 good 0 bad,optional comments
0,721,5331,14,341,1,
1,2805,5598,56,195,1,
2,282,5593,5,827,1,
3,3967,5527,79,667,1,
4,4720,5169,94,527,1,
5,544,5558,10,487,1,
6,615,5513,12,43,1,
7,8925,5588,178,395,1,off by 20cm
8,583,5340,11,735,1,
9,1868,5771,37,356,1,
10,10459,5331,209,143,1,track includes michel
11,1152,5758,23,552,1,
12,1680,5185,33,684,1,
13,5695,5385,113,282,1,
14,2865,5509,57,354,1,
15,2526,5741,50,279,1,
16,2460,5155,49,131,1,off by 10cm
17,4012,5169,80,299,1,
18,1600,5654,31,367,1,
19,1561,5134,31,230,1,
20,868,5370,17,555,1,
21,1701,5394,34,489,0,weird non-muon behavior... hard scatter then charge exchange maybe?
22,4575,5532,91,355,0,two identical tracks in this event? weird topology with hard scatter. remove both.
22,4575,5532,91,355,0,""" """
23,9442,5512,188,492,1,
24,5545,5419,110,61,1,
25,4139,5364,82,310,1,maybe off by 20cm
26,7668,5154,153,519,0,
27,894,5364,17,416,1,
28,6622,5179,132,60,0,
29,6160,5891,123,404,1,no bragg peak visible. maybe hitting cathode?
30,1798,5146,35,650,0,
31,2890,5558,57,169,1,
32,1048,5694,20,388,1,
33,3323,5437,66,337,1,maybe bad based on V plane?
34,3970,5233,79,265,1,off by 15cm
35,829,5153,16,146,1,
36,6007,5437,120,25,1,
37,3075,5513,61,672,1,
38,1218,5168,24,520,1,
39,107,5478,2,547,1,
40,900,5326,17,464,1,
41,3366,5204,67,49,1,
42,3891,5516,77,432,1,
43,4399,5328,87,40,1,off by a few cm
44,5064,5384,101,812,1,
45,4263,5508,85,182,1,
46,4541,5273,90,685,1,
47,792,5277,15,382,1,
48,3268,5525,65,367,1,
49,7742,5204,154,467,1,
50,221,5808,4,611,1,weird looking event
51,245,5370,4,777,1,
52,6481,5155,129,618,1,
53,427,5376,8,386,1,"passes thru several bad regions in several planes, otherwise looks good"
54,1165,5762,23,627,1,weird topology... end in two prongs?
55,7888,5384,157,658,1,
56,1031,5194,20,67,1,
57,252,5374,5,637,1,track includes michel
58,2768,5705,55,541,1,
59,2622,5830,52,576,0,track broken at hard scatter location? weird topology. two duplicate tracks? throw out both
59,2622,5830,52,576,0,""" "" "
60,2755,5208,55,572,0,vertex in middle of a track
61,9722,5906,194,800,1,
62,728,5532,14,278,1,
63,1411,5910,28,538,1,
64,5895,5397,117,95,1,
65,71,5430,1,779,0,
66,2183,5334,43,765,1,
67,6111,5208,122,588,1,
68,3702,5361,74,546,1,
69,1030,5586,20,157,0,9 meter track!!! reco stops short though
70,2370,5470,47,662,0,
71,1230,5445,24,500,1,very weird event topology... maybe pion?
72,1915,5364,38,200,1,track includes michel
73,6126,5433,122,350,1,
74,2090,5607,41,262,1,beautiful pi0 event
75,468,5181,9,133,1,
76,1007,5237,20,540,1,
77,650,5541,12,483,1,
78,375,5393,7,506,1,
79,6260,5925,125,346,1,
80,1952,5808,39,270,1,
81,1874,5280,37,854,0,
82,986,5191,19,173,1,vertex is at a hard scatter but that shouldn't affect this analysis (as if muon started there)
83,3016,5437,60,205,1,
84,1091,5725,21,527,0,"track ends in charge exchange then pi0, pion"
85,2690,5513,53,68,0,
86,737,5712,14,519,1,"track looks like its exiting... ""michel"" only seen on collection plane, no clear bragg peak"
87,785,5850,15,385,1,
88,9279,5364,185,647,1,track starts @ a delta ray but that should be ok
89,1857,5270,37,558,0,
90,5764,5331,115,475,1,
91,1280,5340,25,343,1,
92,1246,5567,24,256,1,
93,8302,5832,166,349,1,
94,8374,5832,167,299,1,
95,820,5593,16,255,1,
96,2472,5385,49,543,1,
97,1886,5229,37,345,1,
98,2402,5195,48,476,1,
99,3161,5909,63,651,1,
100,854,5519,17,28,1,
101,3614,5214,72,183,1,
101,3614,5214,72,204,1,
102,151,5528,3,807,1,
103,1254,5147,25,645,1,
104,901,5179,18,434,1,"in bad region of U, no bragg peak visible, weird activity at end of track"
105,1101,5719,22,326,1,
106,640,5487,12,583,1,
107,1784,5938,35,87,1,
108,3301,5370,66,384,1,
109,2001,5333,40,504,1,
110,698,5771,13,334,1,
111,778,5263,15,297,1,
112,1541,5130,30,34,1,"traversing many gaps, ends ~5cm too long"
113,1573,5805,31,452,1,
114,7613,5782,152,790,1,
115,9533,5179,190,742,1,track is backwards but otherwise ok
116,3141,5597,62,472,1,
117,2717,5512,54,411,1,
118,9635,5519,192,532,1,
119,9673,5519,193,307,1,
120,77,5401,1,188,1,
121,997,5774,19,611,1,vertex at dleta ray but this should be OK
122,7540,5361,150,617,1,
123,1564,5691,31,402,0,
124,3511,5340,70,900,1,vertex at delta ray but this should be OK
125,3317,5733,66,160,0,
126,1607,5709,32,868,0,
127,2056,5726,41,844,1,
128,829,5942,16,159,1,
129,4914,5331,98,463,0,super wiggly awesome looking track going parallel to wire planes
130,199,5490,3,313,1,
131,992,5397,19,351,1,
132,3232,5508,64,629,1,
133,2727,5929,54,841,1,
134,9141,5933,182,217,1,
135,7409,5385,148,492,1,
136,241,5923,4,219,1,
137,304,5932,6,533,0,i have no idea what's going on in this event but it's definitely not a track
138,1342,5916,26,883,1,
139,4095,5155,81,399,1,
140,4088,5462,81,364,1,
141,3193,5382,63,114,1,
142,6995,5705,139,497,1,
143,4847,5767,96,561,0,"beautiful event. long pion shits out a pi0, then decays to muon to michel!"
144,3022,5845,60,476,1,
145,7794,5515,155,58,0,
146,934,5495,18,206,0,
147,2136,5935,42,272,1,
148,857,5932,17,227,1,
149,3435,5733,68,207,1,
150,2147,5237,42,301,1,
151,6194,5519,123,251,1,
152,3177,5607,63,550,0,michel mid i think
153,363,5367,7,149,1,
154,5954,5705,119,146,1,
155,4442,5332,88,447,1,
156,848,5365,16,276,1,
157,5220,5419,104,758,1,
158,411,5375,8,532,1,
159,3710,5586,74,495,1,
160,81,5499,1,677,1,
161,2544,5819,50,297,1,
162,1081,5850,21,695,1,
163,1082,5761,21,143,1,
164,5032,5819,100,429,1,
165,3031,5179,60,192,1,
166,4969,5208,99,155,1,
167,2413,5607,48,652,0,looks like a pion
168,573,5517,11,382,1,
168,573,5517,11,696,1,
169,112,5755,2,362,1,
170,3999,5385,79,581,1,
171,427,5540,8,302,1,
172,1808,5946,36,267,1,
173,1258,5607,25,247,1,
174,1534,5164,30,944,1,
175,1192,5233,23,920,1,
176,1065,5272,21,294,1,
177,7767,5433,155,452,1,off by 10cm
178,3465,5541,69,492,1,"same track, so one is backwards ... otherwise looks good"
178,3465,5541,69,492,1,""" '"
179,1864,5262,37,591,1,
180,2594,5694,51,280,1,
181,342,5459,6,431,1,
182,1626,5905,32,502,1,
183,7500,5169,149,833,1,
184,3213,5712,64,259,1,
185,876,5518,17,612,0,
